"movieid","year","isenglish","country","runningtime"
1673647,3,F,France,3
1684910,4,T,USA,1
1688565,4,T,UK,2
1690710,4,T,USA,1
1690958,4,T,other,2
1697774,4,T,other,1
1710609,3,F,other,2
1719614,1,T,UK,1
1729579,2,F,other,1
1739234,4,F,other,2
1745373,4,T,UK,1
1757465,4,F,other,1
1766668,4,T,UK,1
1769516,2,T,UK,1
1772497,4,T,USA,2
1779528,4,T,UK,1
1784129,4,T,USA,2
1788154,4,T,USA,1
1789511,2,T,USA,1
1792363,4,T,USA,2
1797310,4,T,other,2
1807604,4,T,USA,2
1809431,4,T,other,2
1810470,2,T,UK,2
1812339,4,F,other,1
1824605,4,T,USA,1
1830509,4,T,USA,0
1834423,2,F,other,1
1837319,4,T,USA,1
1838092,1,T,USA,0
1842301,4,T,other,1
1868452,4,T,USA,2
1886830,4,F,other,1
1888102,4,F,other,2
1889850,2,T,UK,2
1895463,4,F,other,2
1898834,2,T,UK,1
1899474,4,F,other,2
1916996,4,T,USA,3
1922080,4,F,other,2
1923531,4,T,other,1
1931607,4,T,USA,2
1939525,4,T,USA,1
1942898,4,T,USA,1
1952490,4,T,USA,1
1962315,4,T,USA,1
1967290,4,T,USA,1
1974519,4,F,other,3
1979164,1,T,USA,0
1981072,4,T,UK,1
1988834,4,T,USA,2
1991269,4,T,USA,3
1992774,4,F,UK,3
1996365,2,T,USA,1
1998427,2,T,USA,1
2005242,4,T,USA,2
2006992,4,F,other,1
2007295,4,F,other,3
2008830,4,T,USA,0
2015145,4,T,other,1
2018570,4,T,USA,1
2019186,4,T,USA,1
2019328,2,F,other,1
2024562,2,F,other,2
2027949,4,T,USA,2
2036706,4,F,other,0
2046667,4,T,USA,1
2070622,4,T,USA,1
2075554,2,T,USA,1
2084764,3,F,France,1
2085434,4,F,France,3
2086876,4,F,France,3
2095261,3,F,other,3
2100901,2,F,France,3
2102312,4,F,other,1
2102344,4,F,France,1
2110128,4,F,France,2
2112240,4,F,France,2
2119117,4,F,other,2
2123712,4,T,other,1
2126243,2,F,other,1
2128569,4,T,other,1
2139928,4,T,USA,3
2141139,2,T,USA,1
2141961,4,T,USA,1
2146691,4,T,USA,3
2147941,4,T,other,1
2148165,4,T,UK,2
2154565,4,T,USA,1
2161144,4,T,USA,1
2161615,4,F,other,1
2168103,4,T,USA,2
2168282,4,T,other,1
2174392,4,F,other,1
2181690,4,F,France,1
2192654,2,T,USA,1
2196454,4,F,other,3
2196886,3,F,France,3
2197407,4,F,other,1
2202880,4,T,USA,2
2207638,4,F,other,0
2217636,4,T,UK,1
2225605,4,T,other,2
2235600,3,F,other,1
2238595,4,T,USA,1
2247594,4,T,USA,1
2251833,4,F,other,1
2254216,3,T,USA,2
2258079,4,T,USA,1
2258588,4,T,USA,2
2265563,4,T,USA,0
2270182,4,F,UK,3
2273896,4,T,other,1
2285092,4,F,other,1
2291501,4,T,USA,3
2292610,4,T,USA,2
2302418,4,T,USA,1
2311916,4,T,other,1
2318736,4,F,France,2
2325646,3,F,other,2
2346713,4,F,other,3
2360833,4,T,USA,2
2360852,4,T,USA,2
2360910,4,F,other,2
2365518,4,T,other,1
2365831,1,T,USA,3
2369623,3,T,other,1
2370348,3,T,USA,2
2373573,4,F,other,1
2375950,4,T,USA,1
2397272,4,T,other,2
2402490,1,T,USA,3
2412397,4,T,USA,1
2415723,4,T,USA,1
2429043,4,T,USA,3
2444638,4,T,UK,3
2450394,3,T,USA,1
2450589,4,T,USA,1
2452304,4,T,USA,3
2453256,4,T,France,2
2456741,2,T,UK,3
2460167,1,T,UK,1
2462177,4,T,USA,2
2462408,3,T,USA,2
2467655,1,T,UK,1
2469819,4,T,France,3
2470287,4,T,other,3
2475103,4,T,other,1
2475442,1,T,USA,1
2479085,2,T,UK,1
2487653,4,T,USA,1
2493709,2,T,UK,1
2496608,4,T,USA,2
2497499,4,T,other,2
2501253,4,F,other,2
2505091,4,T,USA,0
2511419,3,F,other,1
2513057,3,T,USA,1
2517491,4,F,France,3
2522182,4,T,USA,2
2522562,4,T,UK,2
2522651,4,T,USA,1
2531186,4,F,other,2
2533461,4,T,USA,1
2544143,4,T,other,1
2544156,4,T,USA,1
2556271,4,T,other,1
2577062,2,F,other,3
2586756,4,F,other,1
2587077,4,F,other,1
2590181,4,T,other,1

